#city state type lat lng population
Greeley CO LOCAL 40.42 -104.77 268574
Auburn AL LOCAL 32.61 -85.49 107382
Salem OR LOCAL 44.92 -123.02 386292
Anchorage AK LOCAL 61.15 -149.11 248902
Warren OH LOCAL 41.24 -80.82 87409
Jacksonville FL METRO 30.33 -81.67 1355108
Winchester VA LOCAL 39.17 -78.17 74593
Olympia WA LOCAL 47.04 -122.90 291348
Spring_Hill TN LOCAL 35.74 -86.91 81312
Green_Bay WI LOCAL 44.51 -87.99 328510
Medford OR LOCAL 42.34 -122.85 236821
Golden_Gate FL LOCAL 26.18 -81.70 111099
Davenport IA LOCAL 41.56 -90.61 324787
Pekin IL LOCAL 40.57 -89.63 87757
Hampton VA LOCAL 37.06 -76.36 135169
Enid OK LOCAL 36.41 -97.87 50116
Dothan AL LOCAL 31.23 -85.41 69586
Bay_City MI LOCAL 43.59 -83.89 67917
Rochester MN LOCAL 44.02 -92.48 116962
Decatur IL LOCAL 39.86 -88.93 86604
